400,98264.64732
401,108231.5867
402,121267.7879
403,134987.3086
404,146072.9828
405,159333.9341
406,172960.9934
407,193845.925
408,208746.489
409,226067.8917
410,240505.6619
411,259984.9401
412,278811.3245
413,300276.1194
414,323321.9544
415,342454.5796
416,363190.4468
417,389672.6474
418,409155.8655
419,435889.1196
420,453795.912
421,490227.1253
422,510074.9064
423,535288.1889
424,559074.2796
425,588478.5842
426,623761.5424
427,637894.7802
428,681164.0186
429,700823.3612
430,727963.5039
431,756367.8315
432,786675.8507
433,817291.4446
434,854533.034
435,886980.6815
436,933536.2911
437,973757.1298
438,1.02E+06
439,1.07E+06
440,1.13E+06
441,1.19E+06
442,1.25E+06
443,1.33E+06
444,1.41E+06
445,1.49E+06
446,1.58E+06
447,1.68E+06
448,1.79E+06
449,1.91E+06
450,2.04E+06
451,2.17E+06
452,2.34E+06
453,2.49E+06
454,2.66E+06
455,2.84E+06
456,3.03E+06
457,3.19E+06
458,3.37E+06
459,3.54E+06
460,3.72E+06
461,3.89E+06
462,4.05E+06
463,4.21E+06
464,4.38E+06
465,4.53E+06
466,4.69E+06
467,4.85E+06
468,5.01E+06
469,5.15E+06
470,5.30E+06
471,5.44E+06
472,5.59E+06
473,5.71E+06
474,5.84E+06
475,5.99E+06
476,6.11E+06
477,6.22E+06
478,6.36E+06
479,6.44E+06
480,6.55E+06
481,6.68E+06
482,6.77E+06
483,6.88E+06
484,6.93E+06
485,7.03E+06
486,7.10E+06
487,7.18E+06
488,7.26E+06
489,7.33E+06
490,7.39E+06
491,7.43E+06
492,7.48E+06
493,7.55E+06
494,7.58E+06
495,7.62E+06
496,7.65E+06
497,7.68E+06
498,7.70E+06
499,7.72E+06
500,7.75E+06
501,7.73E+06
502,7.78E+06
503,7.78E+06
504,7.79E+06
505,7.81E+06
506,7.78E+06
507,7.77E+06
508,7.76E+06
509,7.72E+06
510,7.72E+06
511,7.68E+06
512,7.63E+06
513,7.62E+06
514,7.57E+06
515,7.52E+06
516,7.49E+06
517,7.46E+06
518,7.39E+06
519,7.34E+06
520,7.33E+06
521,7.28E+06
522,7.23E+06
523,7.17E+06
524,7.10E+06
525,7.05E+06
526,7.00E+06
527,6.93E+06
528,6.88E+06
529,6.82E+06
530,6.73E+06
531,6.67E+06
532,6.59E+06
533,6.53E+06
534,6.45E+06
535,6.39E+06
536,6.28E+06
537,6.23E+06
538,6.13E+06
539,6.04E+06
540,5.98E+06
541,5.91E+06
542,5.82E+06
543,5.74E+06
544,5.68E+06
545,5.58E+06
546,5.50E+06
547,5.43E+06
548,5.32E+06
549,5.25E+06
550,5.19E+06
551,5.08E+06
552,4.99E+06
553,4.94E+06
554,4.85E+06
555,4.78E+06
556,4.70E+06
557,4.61E+06
558,4.53E+06
559,4.45E+06
560,4.38E+06
561,4.31E+06
562,4.21E+06
563,4.13E+06
564,4.05E+06
565,3.97E+06
566,3.91E+06
567,3.83E+06
568,3.74E+06
569,3.66E+06
570,3.61E+06
571,3.53E+06
572,3.46E+06
573,3.37E+06
574,3.34E+06
575,3.27E+06
576,3.22E+06
577,3.17E+06
578,3.09E+06
579,3.01E+06
580,2.96E+06
581,2.91E+06
582,2.85E+06
583,2.77E+06
584,2.70E+06
585,2.65E+06
586,2.59E+06
587,2.53E+06
588,2.50E+06
589,2.43E+06
590,2.38E+06
591,2.33E+06
592,2.28E+06
593,2.24E+06
594,2.17E+06
595,2.12E+06
596,2.08E+06
597,2.03E+06
598,1.99E+06
599,1.96E+06
600,1.91E+06
601,1.85E+06
602,1.80E+06
603,1.78E+06
604,1.74E+06
605,1.72E+06
606,1.66E+06
607,1.62E+06
608,1.58E+06
609,1.55E+06
610,1.52E+06
611,1.50E+06
612,1.47E+06
613,1.42E+06
614,1.39E+06
615,1.35E+06
616,1.33E+06
617,1.27E+06
618,1.24E+06
619,1.22E+06
620,1.20E+06
621,1.17E+06
622,1.14E+06
623,1.11E+06
624,1.09E+06
625,1.06E+06
626,1.03E+06
627,995112.9295
628,973647.2518
629,960213.5529
630,928772.2766
631,921511.7493
632,900428.056
633,878429.8876
634,837159.7366
635,818490.755
636,803666.5607
637,804828.9195
638,758271.8301
639,748024.836
640,717744.5098
641,696240.9426
642,687897.9396
643,678349.1812
644,660039.0529
645,639255.7909
646,609511.8065
647,610531.4249
648,593621.2217
649,587876.3127
650,558657.2756
651,547834.3316
652,532459.9801
653,523104.7344
654,513090.6315
655,491198.2971
656,492308.7067
657,484520.474
658,459645.6909
659,456670.4094
660,438581.2842
661,431607.9816
662,421419.4743
663,410526.8704
664,404893.6447
665,395421.0637
666,388187.924
667,382033.697
668,364736.084
669,367625.9345
670,349809.4054
671,338421.5723
672,337183.8388
673,321455.0624
674,320910.6013
675,317895.6363
676,297886.4462
677,291589.6474
678,297153.6157
679,287658.7284
680,285386.5451
681,278667.2048
682,266348.3232
683,260545.1683
684,252355.5525
685,253764.41
686,232122.9738
687,240362.1213
688,225320.0915
689,229695.8122
690,229354.7266
691,214290.5951
692,217386.9856
693,210075.9979
694,204896.8776
695,215365.136
696,210750.1202
697,192895.2032
698,198201.9389
699,176497.353
700,185622.3032
